Sr.,Stock Name,Symbol,Links,%Chg,Price,Volume
"1","Tainwala Chemical And Plastic (i) Limited","TAINWALCHM","P&F | F.A","20.00","191.90","40548"
"2","Refex Industries Limited","REFEX","P&F | F.A","18.52","302.10","36614134"
"3","Maha Rashtra Apex Corporation Ltd","MAHAPEXLTD","P&F | F.A","15.03","109.55","596525"
"4","Shakti Pumps (india) Limited","SHAKTIPUMP","P&F | F.A","12.74","733.00","23079881"
"5","Agri-tech (india) Limited","AGRITECH","P&F | F.A","12.72","146.00","194408"
"6","Par Drugs & Chemicals Ltd","PAR","P&F | F.A","12.22","103.30","96449"
"7","Coffee Day Enterprises Limited","COFFEEDAY","P&F | F.A","11.94","36.47","2331546"
"8","Geojit Financial Services","GEOJITFSL","P&F | F.A","10.61","77.34","81179192"
"9","Transformers & Rectifiers India Ltd","TARIL","P&F | F.A","10.28","309.00","42801967"
"10","Handson Global Management (HGM) Ltd","HGM","P&F | F.A","9.99","72.14","8747"
"11","Shree Rama Multi-tech Limited","SHREERAMA","P&F | F.A","9.99","59.33","329160"
"12","AVG Logistics Ltd","AVG","P&F | F.A","9.71","181.62","52515"
"13","Ion Exchange (India) Ltd","IONEXCHANG","P&F | F.A","9.33","383.90","1108899"
"14","Best Agrolife Ltd","BESTAGRO","P&F | F.A","8.34","394.90","725300"
"15","Praj Industries Limited","PRAJIND","P&F | F.A","8.02","328.05","4631070"
"16","Knowledge Marine & Engineering Works Ltd","KMEW","P&F | F.A","8.01","3546.50","192900"
"17","Madhav Copper Ltd","MCL","P&F | F.A","7.88","52.43","351378"
"18","Cineline India Limited","CINELINE","P&F | F.A","7.83","91.53","79460"
"19","Rajoo Engineers Ltd","RAJOOENG","P&F | F.A","7.63","68.31","2668340"
"20","Antelopus Selan Energy Ltd","ANTELOPUS","P&F | F.A","7.48","426.30","148494"
"21","NIBE Ltd","NIBE","P&F | F.A","7.19","1178.50","101858"
"22","InfoBeans Technologies Ltd","INFOBEAN","P&F | F.A","7.08","743.00","403910"
"23","Orbit Exports Limited","ORBTEXP","P&F | F.A","7.08","198.74","73705"
"24","Systematix Corporate Services Ltd","SYSTMTXC","P&F | F.A","6.96","171.30","122524"
"25","Rain Industries Limited","RAIN","P&F | F.A","6.82","114.15","2695550"
"26","D.b.corp Limited","DBCORP","P&F | F.A","6.71","258.35","230220"
"27","Wheels India Limited","WHEELS","P&F | F.A","6.59","897.60","153199"
"28","Concord Enviro Systems Ltd","CEWATER","P&F | F.A","6.40","446.30","196741"
"29","Action Construction Equipment Limited","ACE","P&F | F.A","6.15","991.20","1023139"
"30","SMC Global Securities Ltd","SMCGLOBAL","P&F | F.A","5.96","89.19","2154511"
"31","Aditya Birla Money Limited","BIRLAMONEY","P&F | F.A","5.77","157.00","130348"
"32","Lumax Auto Technologies Limited","LUMAXTECH","P&F | F.A","5.73","1566.20","491495"
"33","Euro India Fresh Foods Ltd","EIFFL","P&F | F.A","5.71","242.81","41793"
"34","Nbcc (india) Limited","NBCC","P&F | F.A","5.69","115.80","26227967"
"35","Cupid Limited","CUPID","P&F | F.A","5.67","416.35","4235768"
"36","Zuari Agro Chemicals Limited","ZUARI","P&F | F.A","5.55","309.95","1908399"
"37","Aarti Industries Limited","AARTIIND","P&F | F.A","5.43","376.35","8821519"
"38","Prime Focus Limited","PFOCUS","P&F | F.A","5.38","211.69","7910939"
"39","Gem Aromatics Ltd","GEMAROMA","P&F | F.A","5.36","148.91","501231"
"40","Iris Clothings Ltd","IRISDOREME","P&F | F.A","5.33","37.56","1040244"
"41","DEE Development Engineers Ltd","DEEDEV","P&F | F.A","5.18","228.77","424718"
"42","Kriti Nutrients Ltd","KRITINUT","P&F | F.A","5.17","67.54","258107"
"43","Nuvoco Vistas Corporation Ltd","NUVOCO","P&F | F.A","5.14","363.00","4152927"
"44","Mold-tek Technologies Limited","MOLDTECH","P&F | F.A","5.14","168.45","54060"
"45","Tvs Electronics Limited","TVSELECT","P&F | F.A","5.00","475.85","23985"
"46","Indo Thai Securities Limited","INDOTHAI","P&F | F.A","5.00","386.55","121909"
"47","S & S Power Switchgear Ltd","S&SPOWER","P&F | F.A","5.00","298.79","3259"
"48","GKENERGY","GKENERGY","P&F | F.A","5.00","165.99","645444"
"49","Prozone Realty Ltd","PROZONER","P&F | F.A","5.00","56.75","235962"
"50","Digjam Ltd","DIGJAMLMTD","P&F | F.A","5.00","51.05","2308"
"51","Swan Defence and Heavy Industries Ltd","SWANDEF","P&F | F.A","4.99","1259.20","2760"
"52","Reliance Infrastructure Limited","RELINFRA","P&F | F.A","4.99","142.53","890112"
"53","Rajratan Global Wire Ltd","RAJRATAN","P&F | F.A","4.97","467.45","147836"
"54","Maan Aluminium Limited","MAANALU","P&F | F.A","4.96","164.20","929442"
"55","Supreme Infrastructure India Limited","SUPREMEINF","P&F | F.A","4.93","94.43","9177"
"56","Vaswani Industries Limited","VASWANI","P&F | F.A","4.85","61.34","315946"
"57","SAL Steel","SALSTEEL","P&F | F.A","4.82","37.00","126438"
"58","Power Mech Projects Limited","POWERMECH","P&F | F.A","4.70","2339.80","99775"
"59","B. L. Kashyap And Sons Limited","BLKASHYAP","P&F | F.A","4.70","53.04","561246"
"60","Edelweiss Financial Services Limited","EDELWEISS","P&F | F.A","4.68","108.26","3608309"
"61","Shringar House of Mangalsutra Ltd","SHRINGARMS","P&F | F.A","4.66","205.77","1198291"
"62","Jai Balaji Industries Limited","JAIBALAJI","P&F | F.A","4.66","63.30","9931046"
"63","Usha Martin Limited","USHAMART","P&F | F.A","4.54","460.60","1210736"
"64","Indraprastha Medical Corporation Limited","INDRAMEDCO","P&F | F.A","4.49","492.00","263368"
"65","Punjab Chemicals & Crop Protection Limited","PUNJABCHEM","P&F | F.A","4.47","1312.60","6099"
"66","Aeroflex Industries Ltd","AEROFLEX","P&F | F.A","4.47","184.00","635125"
"67","Zodiac Energy Ltd","ZODIAC","P&F | F.A","4.46","320.65","73866"
"68","Ufo Moviez India Limited","UFO","P&F | F.A","4.42","81.04","372705"
"69","Mindteck (india) Limited","MINDTECK","P&F | F.A","4.34","205.76","60553"
"70","Kajaria Ceramics Limited","KAJARIACER","P&F | F.A","4.25","1097.80","462620"
"71","Vibhor Steel Tubes Ltd","VSTL","P&F | F.A","4.25","132.20","69665"
"72","Vishnu Prakash R Punglia Ltd","VPRPL","P&F | F.A","4.24","75.91","837989"
"73","Beml Limited","BEML","P&F | F.A","4.19","1761.20","305335"
"74","SG Finserve Ltd","SGFIN","P&F | F.A","4.17","401.00","139726"
"75","Shriram Pistons & Rings Limited","SHRIPISTON","P&F | F.A","4.04","3227.50","258408"
"76","Ather Energy Ltd","ATHERENERG","P&F | F.A","4.01","671.00","1104525"
"77","Hubtown Limited","HUBTOWN","P&F | F.A","4.00","254.90","1605433"
"78","PVR Inox Ltd","PVRINOX","P&F | F.A","3.96","1093.60","2150014"
"79","Netweb Technologies India Ltd","NETWEB","P&F | F.A","3.92","3326.20","428417"
"80","Brand Concepts Ltd","BCONCEPTS","P&F | F.A","3.89","318.00","7231"
"81","Sree Rayalaseema Hi-strength Hypo Limited","SRHHYPOLTD","P&F | F.A","3.87","510.00","5621"
"82","Bhagyanagar India","BHAGYANGR","P&F | F.A","3.83","137.70","98343"
"83","Godavari Biorefineries Ltd","GODAVARIB","P&F | F.A","3.82","263.16","304582"
"84","Gocl Corporation Limited","GOCLCORP","P&F | F.A","3.80","314.00","576507"
"85","Roto Pumps Ltd","ROTO","P&F | F.A","3.80","63.62","525314"
"86","Onmobile Global Limited","ONMOBILE","P&F | F.A","3.77","58.32","1680803"
"87","Cartrade Tech Ltd","CARTRADE","P&F | F.A","3.76","2774.00","229934"
"88","Aia Engineering Limited","AIAENG","P&F | F.A","3.74","3889.90","55360"
"89","OSWALPUMPS","OSWALPUMPS","P&F | F.A","3.72","549.20","1024948"
"90","Senores Pharmaceuticals Ltd","SENORES","P&F | F.A","3.70","815.20","1297183"
"91","AWFIS Space Solutions Ltd","AWFIS","P&F | F.A","3.70","512.40","136803"
"92","Monte Carlo Fashions Limited","MONTECARLO","P&F | F.A","3.67","734.65","32599"
"93","Electrosteel Castings Limited","ELECTCAST","P&F | F.A","3.66","74.14","912113"
"94","Prostarm Info Systems Ltd","PROSTARM","P&F | F.A","3.63","184.64","701987"
"95","Silver Touch Technologies Ltd","SILVERTUC","P&F | F.A","3.62","827.70","129082"
"96","Jupiter Wagons Ltd","JWL","P&F | F.A","3.62","270.25","1459856"
"97","Anant Raj Global Ltd","TARC","P&F | F.A","3.55","151.14","327197"
"98","Godawari Power And Ispat Limited","GPIL","P&F | F.A","3.54","247.06","2528612"
"99","Deepak Nitrite Limited","DEEPAKNTR","P&F | F.A","3.49","1582.00","104682"
"100","Asahi Songwon Colors Limited","ASAHISONG","P&F | F.A","3.49","259.55","5146"
"101","Gandhar Oil Refinery (India) Ltd","GANDHAR","P&F | F.A","3.48","128.98","761932"
"102","Barak Valley Cements Limited","BVCL","P&F | F.A","3.47","42.89","66608"
"103","Il&fs Engineering And Construction Company Limited","IL&FSENGG","P&F | F.A","3.46","26.90","5685"
"104","Kirloskar Brothers Limited","KIRLOSBROS","P&F | F.A","3.44","1698.30","51439"
"105","GNG Electronics Ltd","EBGNG","P&F | F.A","3.42","288.60","136500"
"106","Emmbi Industries Limited","EMMBI","P&F | F.A","3.42","99.30","9502"
"107","Indo Borax & Chemicals Ltd","INDOBORAX","P&F | F.A","3.41","284.04","218414"
"108","Biofil Chemicals & Pharmaceuticals Ltd","BIOFILCHEM","P&F | F.A","3.39","34.80","8538"
"109","Indian Metals & Ferro Alloys Limited","IMFA","P&F | F.A","3.37","1439.00","340016"
"110","Midwest Ltd","MIDWESTLTD","P&F | F.A","3.36","1509.40","140021"
"111","Spl Industries Limited","SPLIL","P&F | F.A","3.35","37.98","3606"
"112","Orient Press Limited","ORIENTLTD","P&F | F.A","3.33","79.95","6035"
"113","ZF Commercial Vehicle Control System India Ltd","ZFCVINDIA","P&F | F.A","3.32","14591.00","9552"
"114","Secmark Consultancy Ltd","SECMARK","P&F | F.A","3.32","120.90","508"
"115","Gpt Infraprojects Limited","GPTINFRA","P&F | F.A","3.29","106.81","785314"
"116","Amber Enterprises India Ltd","AMBER","P&F | F.A","3.28","6843.50","526039"
"117","Aro Granite Industries Limited","AROGRANITE","P&F | F.A","3.28","30.87","7836"
"118","Pansari Developers Ltd","PANSARI","P&F | F.A","3.27","317.40","704"
"119","Narmada Agrobase Ltd","NARMADA","P&F | F.A","3.27","21.19","10123"
"120","Choice International Ltd","CHOICEIN","P&F | F.A","3.26","772.10","548249"
"121","Ritco Logistics Ltd","RITCO","P&F | F.A","3.19","285.05","90364"
"122","Johnson Controls-Hitachi Air Condition. India Ltd","JCHAC","P&F | F.A","3.17","1472.60","13484"
"123","ISGEC Heavy Engineering  Ltd","ISGEC","P&F | F.A","3.17","836.05","33295"
"124","IFGL Refractories Ltd","IFGLEXPOR","P&F | F.A","3.17","215.00","11180"
"125","Jayaswal Neco Industries Limited","JAYNECOIND","P&F | F.A","3.05","74.97","3931714"
"126","EMS Ltd","EMSLIMITED","P&F | F.A","3.04","425.70","121908"
"127","Vascon Engineers Limited","VASCONEQ","P&F | F.A","3.04","46.74","2121178"
"128","Mahalaxmi Fabric Mills Ltd","MFML","P&F | F.A","3.00","26.79","1649"
"129","Transrail Lighting Ltd","TRANSRAILL","P&F | F.A","2.97","601.75","477605"
"130","PDS Ltd","PDSL","P&F | F.A","2.97","373.15","67886"
"131","Semac Consultants Ltd","SEMAC","P&F | F.A","2.95","317.90","5239"
"132","Suven Life Sciences Limited","SUVEN","P&F | F.A","2.95","175.83","346006"
"133","Expleo Solutions Ltd","EXPLEOSOL","P&F | F.A","2.93","1053.00","18426"
"134","Saregama India Limited","SAREGAMA","P&F | F.A","2.93","376.15","838879"
"135","Advance Agrolife Ltd","ADVANCE","P&F | F.A","2.93","125.32","178786"
"136","De Nora India Limited","DENORA","P&F | F.A","2.92","730.00","3251"
"137","Archean Chemical Industries Ltd","ACI","P&F | F.A","2.92","503.75","59183"
"138","Enviro Infra Engineers Ltd","EIEL","P&F | F.A","2.91","206.55","580249"
"139","Oil Country Tubular Limited","OILCOUNTUB","P&F | F.A","2.91","67.62","9021"
"140","Shivam Autotech Limited","SHIVAMAUTO","P&F | F.A","2.90","27.70","50440"
"141","Nandani Creation Ltd","JAIPURKURT","P&F | F.A","2.87","29.00","10243"
"142","R. S. Software (india) Limited","RSSOFTWARE","P&F | F.A","2.86","59.38","71531"
"143","Gujarat Mineral Development Corporation Limited","GMDCLTD","P&F | F.A","2.85","534.70","3900376"
"144","Prudential Sugar Corporation Ltd","PRUDMOULI","P&F | F.A","2.85","23.43","8489"
"145","TransIndia Real Estate Ltd","TREL","P&F | F.A","2.83","28.66","79646"
"146","Eclerx Services Limited","ECLERX","P&F | F.A","2.80","4618.10","41037"
"147","Bombay Super Hybrid Seeds Ltd","BSHSL","P&F | F.A","2.80","101.12","12698"
"148","Mufin Green Finance Ltd","MUFIN","P&F | F.A","2.78","113.50","368243"
"149","Dixon Technologies","DIXON","P&F | F.A","2.77","13749.00","437124"
"150","Pearl Global Industries Limited","PGIL","P&F | F.A","2.77","1634.20","44870"
"151","Upl Limited","UPL","P&F | F.A","2.76","769.00","1097344"
"152","Silgo Retail Ltd","SILGO","P&F | F.A","2.76","74.00","242443"
"153","Trf Limited","TRF","P&F | F.A","2.75","310.55","41476"
"154","Vaibhav Global Limited","VAIBHAVGBL","P&F | F.A","2.75","242.70","185892"
"155","Krsnaa Diagnostics Ltd","KRSNAA","P&F | F.A","2.73","755.75","30098"
"156","Vardhman Acrylics Limited","VARDHACRLC","P&F | F.A","2.70","38.01","20309"
"157","Pnc Infratech Limited","PNCINFRA","P&F | F.A","2.69","261.02","262706"
"158","Share India Securities Ltd","SHAREINDIA","P&F | F.A","2.69","178.04","2136634"
"159","Aditya Birla Real Estate Ltd","ABREL","P&F | F.A","2.66","1718.50","112718"
"160","Aym Syntex Limited","AYMSYNTEX","P&F | F.A","2.65","165.58","2600"
"161","Tarapur Transformers Limited","TARAPUR","P&F | F.A","2.65","31.43","10253"
"162","Suryalakshmi Cotton Mills Limited","SURYALAXMI","P&F | F.A","2.64","59.48","2208"
"163","Aarti Pharmalabs Ltd","AARTIPHARM","P&F | F.A","2.62","759.85","233133"
"164","Moil Limited","MOIL","P&F | F.A","2.57","337.15","1023186"
"165","IKIO Lighting Ltd","IKIO","P&F | F.A","2.57","181.93","60932"
"166","Goodluck India Limited","GOODLUCK","P&F | F.A","2.54","1124.00","73998"
"167","Msp Steel & Power Limited","MSPL","P&F | F.A","2.53","37.29","1720865"
"168","Finkurve Financial Services Ltd","FINKURVE","P&F | F.A","2.52","102.35","10291"
"169","Softtech Engineers Ltd","SOFTTECH","P&F | F.A","2.50","331.75","3862"
"170","Delta Magnets Limited","DELTAMAGNT","P&F | F.A","2.49","73.63","618"
"171","Hi-Tech Pipes Ltd","HITECH","P&F | F.A","2.48","93.80","984618"
"172","Incredible Industries Ltd","INCREDIBLE","P&F | F.A","2.48","41.29","7876"
"173","Linde India Limited","LINDEINDIA","P&F | F.A","2.47","6157.00","28955"
"174","Exicom Tele-Systems Ltd","EXICOM","P&F | F.A","2.47","113.97","253872"
"175","KSB Ltd","KSB","P&F | F.A","2.46","756.25","48520"
"176","Kei Industries Limited","KEI","P&F | F.A","2.42","4165.50","296160"
"177","Lakshmi Finance & Industrial Corporation Limited","LFIC","P&F | F.A","2.40","184.89","563"
"178","Network People Services Technologies Ltd","NPST","P&F | F.A","2.39","1485.40","2912"
"179","R R Kabel Ltd","RRKABEL","P&F | F.A","2.39","1458.00","162871"
"180","Gandhi Special Tubes Limited","GANDHITUBE","P&F | F.A","2.39","767.85","1008"
"181","Kothari Products Limited","KOTHARIPRO","P&F | F.A","2.39","74.47","3337"
"182","Pearl Polymers Limited","PEARLPOLY","P&F | F.A","2.39","22.68","11745"
"183","Sahyadri Industries Ltd","SAHYADRI","P&F | F.A","2.38","256.00","1228"
